ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_alpha_score,predicted_direction,trade_position,trade_side,predicted_edge_dollars,realized_alpha,pnl_dollars,cumulative_pnl_dollars,trade_taken,trade_correct_direction
ABBV,2025-04-29,2025-05-05,-0.0649015997255834,1,0.7106587,1,0.013444947,1,1,long,134.44947078824043,-0.0649015997255834,-649.015997255834,-649.015997255834,1,0
AMD,2025-04-29,2025-05-05,0.0405580432325467,1,0.8324817,1,0.005414501,1,1,long,54.14500832557678,0.0405580432325467,405.580432325467,-243.43556493036704,1,1
AVGO,2025-04-29,2025-05-05,0.0696254926685076,1,0.785433,1,0.00441253,1,1,long,44.12529990077019,0.0696254926685076,696.2549266850759,452.8193617547089,1,1
BAC,2025-04-29,2025-05-05,0.0201743912251635,1,0.7533777,1,0.0063782055,1,1,long,63.78205493092537,0.0201743912251635,201.74391225163498,654.5632740063438,1,1
BRK.B,2025-04-29,2025-05-05,-0.0301024418567499,1,0.69590265,1,-0.0029426068,0,-1,short,-29.42606806755066,-0.0301024418567499,301.024418567499,955.5876925738428,1,1
CAT,2025-04-29,2025-05-05,0.0258648509212229,1,0.7681453,1,0.024136743,1,1,long,241.3674257695675,0.0258648509212229,258.648509212229,1214.236201786072,1,1
COST,2025-04-29,2025-05-05,-0.0330587889444975,1,0.6889335,1,0.010112686,1,1,long,101.12686082720757,-0.0330587889444975,-330.587889444975,883.6483123410969,1,0
CSCO,2025-04-29,2025-05-05,0.0053152958774498,0,0.73364943,1,0.007378405,1,1,long,73.78404960036278,0.0053152958774498,53.152958774497996,936.8012711155949,1,1
CVX,2025-04-29,2025-05-05,0.0108655473417809,1,0.7813977,1,-0.0029962454,0,-1,short,-29.962453991174698,0.0108655473417809,-108.655473417809,828.1457976977858,1,0
GE,2025-04-29,2025-05-05,0.0136081052337522,1,0.7692823,1,-0.0065482985,0,-1,short,-65.4829852283001,0.0136081052337522,-136.081052337522,692.0647453602638,1,0
GOOG,2025-04-29,2025-05-05,-0.0732644265570043,1,0.7752589,1,0.038829945,1,1,long,388.29945027828217,-0.0732644265570043,-732.644265570043,-40.57952020977916,1,0
GS,2025-04-29,2025-05-05,0.0224943256694873,1,0.72283643,1,0.0052609965,1,1,long,52.609965205192566,0.0224943256694873,224.943256694873,184.36373648509385,1,1
