ticker,week_start,last_date,close,volume,vol_ma_5,price_ma_5,price_ma_20,volatility_20,future_alpha_5d,label_abs_alpha_gt_1pct,sec_event_count,sec_latest_filing_url,sec_filing_text_count,sec_filing_text,finnhub_event_count,finnhub_headline_sample,finnhub_summary_sample,finnhub_news_text,yahoo_event_count,yahoo_headline_sample,yahoo_summary_sample,yahoo_news_text,combined_event_text,has_text,text_source_count,event_text_char_count,label_alpha_positive,has_sec_filing,has_finnhub_news,has_yahoo_news,price_vs_ma_5,price_vs_ma_20,volume_vs_ma_5,week_of_year,month,days_from_start,predicted_alpha_score,trade_position,position_weight,realized_alpha,period_return_contribution,trade_taken,requested_k_long,requested_k_short,effective_k_long,effective_k_short,trade_side,trade_correct_direction
IT,2025-12-02,2025-12-08,227.27999877929688,1181000,863220.0,229.93600158691407,229.94950103759768,0.0152043647394744,0.0882871423762281,1,0,,0,,0,,,,0,,,,,0,0,0,1,0,0,0,-0.0115510524201807,-0.0116090804557316,0.3681332684599523,49,12,581,0.0,1,0.2,0.0882871423762281,0.01765742847524562,1,5,0,5,0,long,1
OKE,2025-12-02,2025-12-08,73.91755676269531,4919700,4213980.0,74.07144775390626,70.45301094055176,0.0122611925939512,-0.023644358338555,1,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,-0.0020776020433976,0.049175269813052,0.1674711318041377,49,12,581,0.0,1,0.2,-0.023644358338555,-0.004728871667711,1,5,0,5,0,long,0
DDOG,2025-12-02,2025-12-08,154.27999877929688,3896500,4696360.0,154.2,168.71699981689454,0.0265152052133392,-0.0748896327624998,1,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,0.000518798828125,-0.0855693323925027,-0.170314882164059,49,12,581,0.0,1,0.2,-0.0748896327624998,-0.01497792655249996,1,5,0,5,0,long,0
ORLY,2025-12-02,2025-12-08,98.11000061035156,4041300,4318060.0,98.99199981689452,99.41899948120115,0.010673924462318,-0.0258903610961179,1,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,-0.0089098028949247,-0.0131664860608168,-0.0640935975878056,49,12,581,0.0,1,0.2,-0.0258903610961179,-0.00517807221922358,1,5,0,5,0,long,0
CMI,2025-12-02,2025-12-08,505.9989013671875,896100,870860.0,505.978955078125,483.0668228149414,0.0153082732836685,0.0231921228059734,1,0,,0,,0,,,,0,,,,,0,0,0,1,0,0,0,3.942118315847232e-05,0.0474718557954685,0.0289828445444733,49,12,581,0.0,1,0.2,0.0231921228059734,0.0046384245611946805,1,5,0,5,0,long,1
ARES,2025-12-09,2025-12-15,169.2615966796875,2785100,14736920.0,172.08656005859376,156.25038452148436,0.0203711082608543,-0.0165300034644212,1,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,-0.0164159442663296,0.0832715528864129,-0.811012070364771,50,12,588,0.0,1,0.2,-0.0165300034644212,-0.0033060006928842403,1,5,0,5,0,long,0
PNC,2025-12-09,2025-12-15,207.68817138671875,1968500,2147060.0,205.2537048339844,191.7759880065918,0.0138240723787765,0.0004383795345481,0,0,,0,,0,,,,0,,,,,0,0,0,1,0,0,0,0.0118607678955342,0.0829727618432605,-0.0831648859370488,50,12,588,0.0,1,0.2,0.0004383795345481,8.767590690962e-05,1,5,0,5,0,long,1
TJX,2025-12-09,2025-12-15,156.26820373535156,5709900,5188680.0,155.11744995117186,151.00607299804688,0.0106714813375987,-0.0099222894416818,0,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,0.0074185965830533,0.0348471464281621,0.1004532944795209,50,12,588,0.0,1,0.2,-0.0099222894416818,-0.00198445788833636,1,5,0,5,0,long,0
CVS,2025-12-09,2025-12-15,78.35198211669922,5850900,10183100.0,78.09634399414062,76.75623016357422,0.0171795232014587,-0.0257823924319609,1,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,0.0032733686301342,0.0207898687796979,-0.4254303699266432,50,12,588,0.0,1,0.2,-0.0257823924319609,-0.00515647848639218,1,5,0,5,0,long,0
KVUE,2025-12-09,2025-12-15,17.01460075378418,46841600,44679680.0,17.04426155090332,16.688843250274658,0.0133420691040365,-0.0207137296249806,1,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,-0.0017402218940703,0.0195194776908316,0.0483870967741935,50,12,588,0.0,1,0.2,-0.0207137296249806,-0.00414274592499612,1,5,0,5,0,long,0
CLX,2025-12-16,2025-12-22,95.7784194946289,2283400,3553580.0,97.10677337646484,100.9072422027588,0.0145164333229834,0.0254635155848221,1,0,,0,,0,,,,0,,,,,0,0,0,1,0,0,0,-0.0136793123244467,-0.0508271021600634,-0.3574367257807619,51,12,595,0.0,1,0.2,0.0254635155848221,0.00509270311696442,1,5,0,5,0,long,1
MCK,2025-12-16,2025-12-22,817.7203369140625,490600,790580.0,812.4627075195312,827.3063934326171,0.0152859164648111,0.0083310554153197,0,0,,0,,0,,,,0,,,,,0,0,0,1,0,0,0,0.0064712255047163,-0.0115870693066696,-0.3794429406258696,51,12,595,0.0,1,0.2,0.0083310554153197,0.00166621108306394,1,5,0,5,0,long,1
APH,2025-12-16,2025-12-22,134.87342834472656,5349000,10168940.0,130.87732849121093,135.76855697631837,0.0245935956315478,0.0052631947915113,0,0,,0,,0,,,,0,,,,,0,0,0,1,0,0,0,0.030533171020403,-0.0065930481366752,-0.473986472533027,51,12,595,0.0,1,0.2,0.0052631947915113,0.00105263895830226,1,5,0,5,0,long,1
JPM,2025-12-16,2025-12-22,320.0014953613281,8354600,12268780.0,313.737939453125,309.3824798583984,0.0171253293425,-0.0015590323471386,0,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,0,0.0199642922342164,0.0343232606700609,-0.3190357965502682,51,12,595,0.0,1,0.2,-0.0015590323471386,-0.00031180646942772,1,5,0,5,0,long,0
