Date,sp_return_1d,sp_return_5d,cumulative_return,position,capital_deployed,daily_pnl_dollars,cumulative_pnl_dollars,trade_side,trade_taken,ticker
2026-01-02,0.0018947067188299,-0.0106144058275511,0.0018947067188299638,1,100.0,0.18947067188299,0.18947067188299638,long,1,^GSPC
2026-01-05,0.0063541268648263,-0.0040245856319918,0.008260872790519347,1,100.0,0.6354126864826299,0.8260872790519347,long,1,^GSPC
2026-01-06,0.0061967126783413,0.005659000848196,0.014508775724015877,1,100.0,0.61967126783413,1.4508775724015877,long,1,^GSPC
2026-01-07,-0.0034399234310139,0.0035802032074203,0.01101894321543373,1,100.0,-0.34399234310139,1.101894321543373,long,1,^GSPC
2026-01-08,7.65482590914246e-05,0.0110963349554451,0.011096334955445375,1,100.0,0.00765482590914246,1.1096334955445375,long,1,^GSPC
2026-01-09,0.0064754870318832,0.0157191861939078,0.017643676160434163,1,100.0,0.64754870318832,1.7643676160434163,long,1,^GSPC
2026-01-12,0.0015776332151369,0.0108982428368837,0.01924914462511884,1,100.0,0.15776332151369,1.9249144625118841,long,1,^GSPC
2026-01-13,-0.0019391230550597,0.0027243917963528,0.01727269510992646,1,100.0,-0.19391230550597,1.7272695109926461,long,1,^GSPC
2026-01-14,-0.0053333604454995,0.0008192427507562,0.011847213155540492,1,100.0,-0.53333604454995,1.1847213155540492,long,1,^GSPC
2026-01-15,0.0025799262171273,0.003324479811501,0.014457704308487695,1,100.0,0.25799262171272996,1.4457704308487695,long,1,^GSPC
2026-01-16,-0.0006423023039563,-0.0037710256178952,0.013806115787744044,1,100.0,-0.06423023039563,1.3806115787744044,long,1,^GSPC
2026-01-20,-0.0206267580562774,-0.0258568402462544,-0.007105417678584192,1,100.0,-2.06267580562774,-0.7105417678584192,long,1,^GSPC
2026-01-21,0.0115877413232745,-0.0126541361713227,0.00439998790263707,1,100.0,1.1587741323274499,0.43999879026370703,long,1,^GSPC
2026-01-22,0.0054875021926288,-0.0019129154005127,0.009911635038529099,1,100.0,0.54875021926288,0.9911635038529099,long,1,^GSPC
2026-01-23,0.0003268698377891,-0.0041558752028069,0.010241744690855592,1,100.0,0.03268698377891,1.0241744690855592,long,1,^GSPC
2026-01-26,0.0050060830312763,0.0014726513634566,0.015299098746439421,1,100.0,0.5006083031276299,1.5299098746439421,long,1,^GSPC
2026-01-27,0.0040818961771371,0.0267388526511804,0.01944344425626343,1,100.0,0.40818961771371,1.9443444256263431,long,1,^GSPC
2026-01-28,-8.172305219089626e-05,0.0148946082278089,0.019360132226462712,1,100.0,-0.008172305219089626,1.9360132226462712,long,1,^GSPC
2026-01-29,-0.0012926312740076,0.0080510414173324,0.018042475440070316,1,100.0,-0.12926312740076001,1.8042475440070316,long,1,^GSPC
2026-01-30,-0.0043018996208942,0.0033865302320406,0.013662958900920508,1,100.0,-0.43018996208942,1.3662958900920508,long,1,^GSPC
2026-02-02,0.0053912661291679,0.0037710926129284,0.019127885677635126,1,100.0,0.53912661291679,1.9127885677635126,long,1,^GSPC
2026-02-03,-0.0084039830206983,-0.0087109217051878,0.0105631522304801,1,100.0,-0.8403983020698299,1.05631522304801,long,1,^GSPC
2026-02-04,-0.0050723919062231,-0.0136585215665377,0.005437179876378817,1,100.0,-0.50723919062231,0.5437179876378817,long,1,^GSPC
2026-02-05,-0.0122510155676747,-0.0244812202908355,-0.0068804466666057,1,100.0,-1.22510155676747,-0.68804466666057,long,1,^GSPC
2026-02-06,0.0196957966973359,-0.0009698734084044,0.012679834151997804,1,100.0,1.9695796697335899,1.2679834151997804,long,1,^GSPC
