Date,Adj Close,Close,High,Low,Open,Volume,ticker,return_1d,return_5d,vol_ma_5,price_ma_5,price_ma_20,volatility_20
2016-04-11,24.690895080566406,27.2549991607666,27.65250015258789,27.207500457763672,27.24250030517578,117630000,AAPL,,,,,,
2016-04-12,25.012495040893555,27.610000610351562,27.625,27.165000915527344,27.334999084472656,108929200,AAPL,0.013025042602861081,,,,,
2016-04-13,25.374874114990234,28.010000228881836,28.084999084472656,27.700000762939453,27.700000762939453,133029200,AAPL,0.01448792187681458,,,,,
2016-04-14,25.38846206665039,28.024999618530273,28.09749984741211,27.832500457763672,27.905000686645508,101895600,AAPL,0.0005354884362609447,,,,,
2016-04-15,24.878877639770508,27.462499618530273,28.075000762939453,27.4325008392334,28.02750015258789,187756000,AAPL,-0.020071496475135397,,129848000.0,25.069120788574217,,
2016-04-18,24.342126846313477,26.8700008392334,27.237499237060547,26.735000610351562,27.22249984741211,243286000,AAPL,-0.021574558194659033,-0.014125378327310534,154979200.0,24.99936714172363,,
2016-04-19,24.213027954101562,26.727500915527344,27.0,26.5575008392334,26.969999313354492,129539600,AAPL,-0.0053035173560220805,-0.031962708457709765,159101280.0,24.839473724365234,,
2016-04-20,24.26285171508789,26.782499313354492,27.022499084472656,26.514999389648438,26.65999984741211,122444000,AAPL,0.0020577253320308575,-0.04382376026233825,156984240.0,24.617069244384766,,
2016-04-21,24.00013542175293,26.49250030517578,26.732500076293945,26.3799991607666,26.732500076293945,126210000,AAPL,-0.010827923132036066,-0.05468336921128947,161847120.0,24.339403915405274,,
2016-04-22,23.93445587158203,26.420000076293945,26.6200008392334,26.155000686645508,26.252500534057617,134732400,AAPL,-0.0027366324821387344,-0.03796078673093983,151242400.0,24.150519561767577,,
2016-04-25,23.798568725585938,26.270000457763672,26.412500381469727,26.127500534057617,26.25,112126400,AAPL,-0.005677469616405029,-0.02232993543084172,125010480.0,24.04180793762207,,
2016-04-26,23.633243560791016,26.087499618530273,26.325000762939453,25.977500915527344,25.977500915527344,224064800,AAPL,-0.006946853262531749,-0.023945142028894195,143915520.0,23.92585105895996,,
2016-04-27,22.154325485229492,24.454999923706055,24.677499771118164,23.920000076293945,24.0,458408400,AAPL,-0.06257787136824244,-0.08690347922075492,211108400.0,23.50414581298828,,
2016-04-28,21.477144241333008,23.707500457763672,24.469999313354492,23.5625,24.40250015258789,328970800,AAPL,-0.03056654757320265,-0.10512403934742665,251660560.0,22.9995475769043,,
2016-04-29,21.230270385742188,23.434999465942383,23.68000030517578,23.127500534057617,23.497499465942383,274126000,AAPL,-0.011494724476250884,-0.11298295229057576,279539280.0,22.45871047973633,,
2016-05-02,21.207632064819336,23.40999984741211,23.520000457763672,23.100000381469727,23.49250030517578,192640400,AAPL,-0.0010663227792923058,-0.10886943205038524,295642080.0,21.940523147583008,,
2016-05-03,21.556411743164062,23.795000076293945,23.934999465942383,23.420000076293945,23.549999237060547,227325200,AAPL,0.016445951027380667,-0.08787756163409344,296294160.0,21.525156784057618,,
2016-05-04,21.332191467285156,23.547500610351562,23.975000381469727,23.454999923706055,23.799999237060547,164102000,AAPL,-0.010401558411037959,-0.03710941317046468,237432880.0,21.36072998046875,,
2016-05-05,21.24561882019043,23.309999465942383,23.517499923706055,23.170000076293945,23.5,143562000,AAPL,-0.004058310053493219,-0.010780084099682341,200351120.0,21.314424896240233,,
2016-05-06,21.12712860107422,23.18000030517578,23.362499237060547,22.962499618530273,23.342500686645508,174799600,AAPL,-0.005577160172129503,-0.004858241689528198,180485840.0,21.29379653930664,23.243036842346193,
2016-05-09,21.143075942993164,23.197500228881836,23.4424991607666,23.147499084472656,23.25,131745600,AAPL,0.0007548277013911253,-0.003044004235308373,168306880.0,21.280885314941408,23.06564588546753,0.017392366549401128
2016-05-10,21.28662109375,23.354999542236328,23.392499923706055,23.02750015258789,23.332500457763672,134747200,AAPL,0.006789227411558629,-0.012515563936545182,149791280.0,21.226927185058592,22.879352188110353,0.01705621161142164
2016-05-11,21.07927131652832,23.127500534057617,23.392499923706055,23.114999771118164,23.3700008392334,114876400,AAPL,-0.009740849724739098,-0.011856266673056615,139946160.0,21.176343154907226,22.664572048187257,0.016223199067696592
2016-05-12,20.584815979003906,22.584999084472656,23.19499969482422,22.36750030517578,23.18000030517578,305258800,AAPL,-0.023456946404817658,-0.031103016898643587,172285520.0,21.044182586669923,22.42438974380493,0.016359540025021452
2016-05-13,20.625829696655273,22.6299991607666,22.917499542236328,22.5,22.5,177571200,AAPL,0.0019924257614545304,-0.02372773479465906,172839840.0,20.943922805786134,22.21173734664917,0.01640989050531784
2016-05-16,21.39143943786621,23.469999313354492,23.59749984741211,22.912500381469727,23.09749984741211,245039200,AAPL,0.03711897908936446,0.011746800491219567,195498560.0,20.99359550476074,22.064202976226806,0.01910674173585849
2016-05-17,21.30257225036621,23.372499465942383,23.674999237060547,23.252500534057617,23.637500762939453,187667600,AAPL,-0.004154334155872186,0.0007493512730818441,206082640.0,20.996785736083986,21.91868019104004,0.01911150852820763
2016-05-18,21.546384811401367,23.639999389648438,23.802499771118164,23.47249984741211,23.540000915527344,168249600,AAPL,0.011445216951721182,0.022159850208236742,216757280.0,21.090208435058592,21.78285684585571,0.019437646001628953
