ticker,week_start,last_date,close,volume,vol_ma_5,price_ma_5,price_ma_20,volatility_20,future_alpha_5d,label_abs_alpha_gt_1pct,sec_event_count,sec_latest_filing_url,finnhub_event_count,finnhub_headline_sample,yahoo_event_count,yahoo_headline_sample
AAPL,2016-04-05,2016-04-11,24.690895080566406,117630000,,,,,-0.039762182575425964,1,0,,0,,0,
AAPL,2016-04-12,2016-04-18,24.342126846313477,243286000,154979200.0,24.99936714172363,,,-0.019202435333795842,1,0,,0,,0,
AAPL,2016-04-19,2016-04-25,23.798568725585938,112126400,125010480.0,24.04180793762207,,,-0.10582309726437822,1,0,,0,,0,
AAPL,2016-04-26,2016-05-02,21.207632064819336,192640400,295642080.0,21.940523147583008,,,0.007881172677301373,0,1,https://www.sec.gov/Archives/edgar/data/320193/000119312516556520/d325078d8k.htm,0,,0,
AAPL,2016-05-03,2016-05-09,21.143075942993164,131745600,168306880.0,21.280885314941408,23.06564588546753,0.017392366549401128,0.007875420667174282,0,0,,0,,0,
AAPL,2016-05-10,2016-05-16,21.39143943786621,245039200,195498560.0,20.99359550476074,22.064202976226806,0.01910674173585849,0.0361720645483905,1,0,,0,,0,
AAPL,2016-05-17,2016-05-23,21.972482681274414,152074400,151572800.0,21.596511840820312,21.452878952026367,0.020112947401735,0.011688312479828156,1,0,,0,,0,
AAPL,2016-05-24,2016-05-27,22.865686416625977,145364800,163200000.0,22.544863128662108,21.565721416473387,0.01309516413039324,-0.022070722487594563,1,0,,0,,0,
AAPL,2016-05-31,2016-06-06,22.47376823425293,93170000,130775600.0,22.4482479095459,21.8543342590332,0.01308145525752817,0.0013087800111912795,0,0,,0,,0,
AAPL,2016-06-07,2016-06-13,22.179832458496094,152082000,111673920.0,22.50293884277344,22.24408826828003,0.012238617897614695,-0.025027064532136434,1,0,,0,,0,
AAPL,2016-06-14,2016-06-20,21.669435501098633,137647600,150499200.0,21.99207649230957,22.372031593322752,0.010303442872421499,0.0075256071248156475,0,0,,0,,0,
AAPL,2016-06-21,2016-06-27,20.972183227539062,181958400,174245360.0,21.5554988861084,22.124690532684326,0.01028318191161643,-0.01194227290966876,1,1,https://www.sec.gov/Archives/edgar/data/320193/000119312516628957/d209946d8k.htm,0,,0,
AAPL,2016-06-28,2016-07-01,21.849437713623047,104106000,147462720.0,21.488054275512695,21.95972137451172,0.01170107638873343,-0.004900388408237921,0,0,,0,,0,
AAPL,2016-07-05,2016-07-11,22.09780502319336,95179600,109200720.0,21.879968643188477,21.789282035827636,0.01175208766644498,0.015476244978520404,1,0,,0,,0,
