Date,Adj Close,Close,High,Low,Open,Volume,ticker,return_1d,return_5d,vol_ma_5,price_ma_5,price_ma_20,volatility_20,sp_return_1d,sp_return_5d,alpha_1d,alpha_5d,future_stock_return_5d,future_sp_return_5d,future_alpha_5d,label_abs_alpha_gt_1pct
2016-04-11,24.690895080566406,27.2549991607666,27.65250015258789,27.207500457763672,27.24250030517578,117630000,AAPL,,,,,,,,,,,-0.014125378327310534,0.02563680424811543,-0.039762182575425964,1
2016-04-12,25.012495040893555,27.610000610351562,27.625,27.165000915527344,27.334999084472656,108929200,AAPL,0.013025042602861081,,,,,,0.0096621337827838,,0.0033629088200772816,,-0.031962708457709765,0.018955085404577243,-0.05091779386228701,1
2016-04-13,25.374874114990234,28.010000228881836,28.084999084472656,27.700000762939453,27.700000762939453,133029200,AAPL,0.01448792187681458,,,,,,0.01004013710204088,,0.0044477847747737,,-0.04382376026233825,0.009594597256234572,-0.05341835751857282,1
2016-04-14,25.38846206665039,28.024999618530273,28.09749984741211,27.832500457763672,27.905000686645508,101895600,AAPL,0.0005354884362609447,,,,,,0.0001729273803483533,,0.00036256105591259136,,-0.05468336921128947,0.0041770859377847636,-0.05886045514907423,1
2016-04-15,24.878877639770508,27.462499618530273,28.075000762939453,27.4325008392334,28.02750015258789,187756000,AAPL,-0.020071496475135397,,129848000.0,25.069120788574217,,,-0.0009842848497145784,,-0.01908721162542082,,-0.03796078673093983,0.005214563041863629,-0.04317534977280346,1
2016-04-18,24.342126846313477,26.8700008392334,27.237499237060547,26.735000610351562,27.22249984741211,243286000,AAPL,-0.021574558194659033,-0.014125378327310534,154979200.0,24.99936714172363,,,0.006541025289023228,0.02563680424811543,-0.02811558348368226,-0.039762182575425964,-0.02232993543084172,-0.0031275000970458766,-0.019202435333795842,1
2016-04-19,24.213027954101562,26.727500915527344,27.0,26.5575008392334,26.969999313354492,129539600,AAPL,-0.0053035173560220805,-0.031962708457709765,159101280.0,24.839473724365234,,,0.0030844851678346608,0.018955085404577243,-0.008388002523856741,-0.05091779386228701,-0.023945142028894195,-0.004331729552903507,-0.019613412475990688,1
2016-04-20,24.26285171508789,26.782499313354492,27.022499084472656,26.514999389648438,26.65999984741211,122444000,AAPL,0.0020577253320308575,-0.04382376026233825,156984240.0,24.617069244384766,,,0.0007615448773992117,0.009594597256234572,0.0012961804546316458,-0.05341835751857282,-0.08690347922075492,-0.0034484400384140468,-0.08345503918234087,1
2016-04-21,24.00013542175293,26.49250030517578,26.732500076293945,26.3799991607666,26.732500076293945,126210000,AAPL,-0.010827923132036066,-0.05468336921128947,161847120.0,24.339403915405274,,,-0.005194027008290192,0.0041770859377847636,-0.005633896123745874,-0.05886045514907423,-0.10512403934742665,-0.00749226481789611,-0.09763177452953054,1
2016-04-22,23.93445587158203,26.420000076293945,26.6200008392334,26.155000686645508,26.252500534057617,134732400,AAPL,-0.0027366324821387344,-0.03796078673093983,151242400.0,24.150519561767577,,,4.785972478082989e-05,0.005214563041863629,-0.0027844922069195643,-0.04317534977280346,-0.11298295229057576,-0.01256467757162505,-0.1004182747189507,1
2016-04-25,23.798568725585938,26.270000457763672,26.412500381469727,26.127500534057617,26.25,112126400,AAPL,-0.005677469616405029,-0.02232993543084172,125010480.0,24.04180793762207,,,-0.0018120458796383465,-0.0031275000970458766,-0.003865423736766682,-0.019202435333795842,-0.10886943205038524,-0.003046334786007021,-0.10582309726437822,1
2016-04-26,23.633243560791016,26.087499618530273,26.325000762939453,25.977500915527344,25.977500915527344,224064800,AAPL,-0.006946853262531749,-0.023945142028894195,143915520.0,23.92585105895996,,,0.0018727515871905798,-0.004331729552903507,-0.008819604849722329,-0.019613412475990688,-0.08787756163409344,-0.013543928214227452,-0.07433363341986599,1
2016-04-27,22.154325485229492,24.454999923706055,24.677499771118164,23.920000076293945,24.0,458408400,AAPL,-0.06257787136824244,-0.08690347922075492,211108400.0,23.50414581298828,,,0.001649352800310755,-0.0034484400384140468,-0.0642272241685532,-0.08345503918234087,-0.03710941317046468,-0.02101510021168218,-0.016094312958782497,1
2016-04-28,21.477144241333008,23.707500457763672,24.469999313354492,23.5625,24.40250015258789,328970800,AAPL,-0.03056654757320265,-0.10512403934742665,251660560.0,22.9995475769043,,,-0.009230768513682652,-0.00749226481789611,-0.02133577905952,-0.09763177452953054,-0.010780084099682341,-0.012130288933231315,0.0013502048335489736,0
2016-04-29,21.230270385742188,23.434999465942383,23.68000030517578,23.127500534057617,23.497499465942383,274126000,AAPL,-0.011494724476250884,-0.11298295229057576,279539280.0,22.45871047973633,,,-0.005063088369821722,-0.01256467757162505,-0.006431636106429162,-0.1004182747189507,-0.004858241689528198,-0.003951075416199323,-0.0009071662733288743,0
2016-05-02,21.207632064819336,23.40999984741211,23.520000457763672,23.100000381469727,23.49250030517578,192640400,AAPL,-0.0010663227792923058,-0.10886943205038524,295642080.0,21.940523147583008,,,0.007809946463542827,-0.003046334786007021,-0.008876269242835133,-0.10582309726437822,-0.003044004235308373,-0.010925176912609746,0.007881172677301373,0
2016-05-03,21.556411743164062,23.795000076293945,23.934999465942383,23.420000076293945,23.549999237060547,227325200,AAPL,0.016445951027380667,-0.08787756163409344,296294160.0,21.525156784057618,,,-0.008676638198860664,-0.013543928214227452,0.025122589226241332,-0.07433363341986599,-0.012515563936545182,0.010187108563574743,-0.022702672500119925,1
2016-05-04,21.332191467285156,23.547500610351562,23.975000381469727,23.454999923706055,23.799999237060547,164102000,AAPL,-0.010401558411037959,-0.03710941317046468,237432880.0,21.36072998046875,,,-0.005936889314214544,-0.02101510021168218,-0.004464669096823415,-0.016094312958782497,-0.011856266673056615,0.006503687247868983,-0.018359953920925598,1
2016-05-05,21.24561882019043,23.309999465942383,23.517499923706055,23.170000076293945,23.5,143562000,AAPL,-0.004058310053493219,-0.010780084099682341,200351120.0,21.314424896240233,,,-0.0002390081258001331,-0.012130288933231315,-0.003819301927693086,0.0013502048335489736,-0.031103016898643587,0.006573699487343099,-0.037676716385986686,1
