ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_alpha_score,predicted_direction,trade_position,trade_side,predicted_edge_dollars,realized_alpha,pnl_dollars,cumulative_pnl_dollars,trade_taken,trade_correct_direction
ABBV,2025-04-29,2025-05-05,-0.0649015997255834,1,0.8932123,1,-0.014084565453231335,0,-1,short,-140.84565453231335,-0.0649015997255834,649.015997255834,649.015997255834,1,1
AMD,2025-04-29,2025-05-05,0.0405580432325467,1,0.9580422,1,0.006553803104907274,1,1,long,65.53803104907274,0.0405580432325467,405.580432325467,1054.596429581301,1,1
AVGO,2025-04-29,2025-05-05,0.0696254926685076,1,0.95825815,1,0.0010585247073322535,1,1,long,10.585247073322535,0.0696254926685076,696.2549266850759,1750.851356266377,1,1
BAC,2025-04-29,2025-05-05,0.0201743912251635,1,0.8426096,1,-0.0004425502847880125,0,-1,short,-4.425502847880125,0.0201743912251635,-201.74391225163498,1549.107444014742,1,0
BRK.B,2025-04-29,2025-05-05,-0.0301024418567499,1,0.88426113,1,-0.009469837881624699,0,-1,short,-94.69837881624699,-0.0301024418567499,301.024418567499,1850.131862582241,1,1
CAT,2025-04-29,2025-05-05,0.0258648509212229,1,0.7318038,1,-0.013044447638094425,0,-1,short,-130.44447638094425,0.0258648509212229,-258.648509212229,1591.483353370012,1,0
COST,2025-04-29,2025-05-05,-0.0330587889444975,1,0.9208709,1,-0.01706121116876602,0,-1,short,-170.61211168766022,-0.0330587889444975,330.587889444975,1922.071242814987,1,1
CSCO,2025-04-29,2025-05-05,0.0053152958774498,0,0.81126755,1,0.003976394888013601,1,1,long,39.76394888013601,0.0053152958774498,53.152958774497996,1975.2242015894851,1,1
CVX,2025-04-29,2025-05-05,0.0108655473417809,1,0.86788756,1,-0.015434259548783302,0,-1,short,-154.34259548783302,0.0108655473417809,-108.655473417809,1866.5687281716762,1,0
GE,2025-04-29,2025-05-05,0.0136081052337522,1,0.81295675,1,-0.02183716744184494,0,-1,short,-218.3716744184494,0.0136081052337522,-136.081052337522,1730.4876758341543,1,0
GOOG,2025-04-29,2025-05-05,-0.0732644265570043,1,0.7105071,1,-0.00315282610245049,0,-1,short,-31.5282610245049,-0.0732644265570043,732.644265570043,2463.1319414041973,1,1
GS,2025-04-29,2025-05-05,0.0224943256694873,1,0.71745986,1,-0.008275754749774933,0,-1,short,-82.75754749774933,0.0224943256694873,-224.943256694873,2238.188684709324,1,0
