Date,sp_return_1d,sp_return_5d,cumulative_return,position,capital_deployed,daily_pnl_dollars,cumulative_pnl_dollars,trade_side,trade_taken,ticker
2025-04-29,0.005802410694099,0.0516419664666296,0.005802410694099036,1,10000.0,58.024106940989995,58.024106940990364,long,1,^GSPC
2025-04-30,0.0014799913597656,0.0359384731421508,0.0072909895715578266,1,10000.0,14.799913597656001,72.90989571557827,long,1,^GSPC
2025-05-01,0.0062991021385856,0.0217639238769216,0.0136360183981461,1,10000.0,62.991021385855994,136.36018398146098,long,1,^GSPC
2025-05-02,0.0147265741296347,0.0292224118321295,0.02856340436355409,1,10000.0,147.265741296347,285.6340436355409,long,1,^GSPC
2025-05-05,-0.0063815975889338,0.0219995266222021,0.02199952662220217,1,10000.0,-63.815975889338006,219.9952662220217,long,1,^GSPC
2025-05-06,-0.0076932396518555,0.0082865466985349,0.014137039339814583,1,10000.0,-76.93239651855501,141.37039339814584,long,1,^GSPC
2025-05-07,0.0043463562331358,0.0111723928109712,0.018544840182003197,1,10000.0,43.463562331358,185.44840182003196,long,1,^GSPC
2025-05-08,0.0057997750948355,0.0106706476334679,0.024452171179063953,1,10000.0,57.997750948355,244.52171179063953,long,1,^GSPC
2025-05-09,-0.0007114809122162,-0.0047057005229128,0.023723293013791613,1,10000.0,-7.114809122162001,237.23293013791613,long,1,^GSPC
2025-05-12,0.0325587827490083,0.0343003590224593,0.057054477306127005,1,10000.0,325.587827490083,570.54477306127,long,1,^GSPC
2025-05-13,0.0072482009835321,0.0498741090270167,0.06471622060818438,1,10000.0,72.48200983532101,647.1622060818438,long,1,^GSPC
2025-05-14,0.0010244155978598,0.0464015824000654,0.06580693251186975,1,10000.0,10.244155978598,658.0693251186975,long,1,^GSPC
2025-05-15,0.0041323320741357,0.0446668285667215,0.07021120068392483,1,10000.0,41.323320741357,702.1120068392484,long,1,^GSPC
2025-05-16,0.0070052722948985,0.0527340043079858,0.07770832155776608,1,10000.0,70.052722948985,777.0832155776608,long,1,^GSPC
2025-05-19,0.0008761131291423,0.0204322853033875,0.07865251596766876,1,10000.0,8.761131291423,786.5251596766876,long,1,^GSPC
2025-05-20,-0.0038802294486252,0.0091581924962345,0.07446709671037732,1,10000.0,-38.802294486252,744.6709671037733,long,1,^GSPC
2025-05-21,-0.0161351306610142,-0.0081407828502543,0.057130429713994735,1,10000.0,-161.351306610142,571.3042971399474,long,1,^GSPC
2025-05-22,-0.0004448710379429,-0.0126620406072913,0.056660143002486896,1,10000.0,-4.448710379429,566.6014300248689,long,1,^GSPC
2025-05-23,-0.0067082978253216,-0.0261077778948732,0.0495717520630794,1,10000.0,-67.082978253216,495.717520630794,long,1,^GSPC
2025-05-27,0.0204590558452733,-0.0070527966169763,0.07104499915215934,1,10000.0,204.590558452733,710.4499915215933,long,1,^GSPC
2025-05-28,-0.0055712254172688,-0.0087384068895917,0.06507796602984417,1,10000.0,-55.712254172688,650.7796602984417,long,1,^GSPC
2025-05-29,0.0040111942619043,0.0115593786709693,0.06935020065566389,1,10000.0,40.111942619043006,693.5020065566389,long,1,^GSPC
2025-05-30,-8.118516130162234e-05,0.0119274322667612,0.06926338528713583,1,10000.0,-0.8118516130162234,692.6338528713583,long,1,^GSPC
2025-06-02,0.0041020419271569,0.0229405911643003,0.07364954852475747,1,10000.0,41.020419271569,736.4954852475747,long,1,^GSPC
2025-06-03,0.0058002904546055,0.0082461788323449,0.07987702775265704,1,10000.0,58.00290454605501,798.7702775265703,long,1,^GSPC
2025-06-04,7.36874595066439e-05,0.0139695267314827,0.07995660114741177,1,10000.0,0.736874595066439,799.5660114741177,long,1,^GSPC
2025-06-05,-0.0052773834030941,0.004588819870031,0.07425725610445455,1,10000.0,-52.773834030940996,742.5725610445455,long,1,^GSPC
2025-06-06,0.0102806830100679,0.0149990819467618,0.08530135442572973,1,10000.0,102.80683010067901,853.0135442572972,long,1,^GSPC
2025-06-09,0.0009199480792858,0.011782454353755,0.08629977532217992,1,10000.0,9.199480792858001,862.9977532217991,long,1,^GSPC
2025-06-10,0.0054829894076784,0.0114632661062712,0.09225594548383498,1,10000.0,54.829894076784,922.5594548383498,long,1,^GSPC
2025-06-11,-0.0027438889546078,0.0086136010485255,0.0892589164594173,1,10000.0,-27.438889546078,892.589164594173,long,1,^GSPC
2025-06-12,0.0038224199557175,0.0178404802623153,0.09342252147863506,1,10000.0,38.224199557175,934.2252147863505,long,1,^GSPC
2025-06-13,-0.0112963798792506,-0.0038980409459491,0.08107080530748445,1,10000.0,-112.963798792506,810.7080530748445,long,1,^GSPC
2025-06-16,0.0093926598961591,0.0045338869574591,0.09122493570540446,1,10000.0,93.926598961591,912.2493570540446,long,1,^GSPC
2025-06-17,-0.0083521847901663,-0.0092882278471698,0.08211082339475562,1,10000.0,-83.52184790166301,821.1082339475562,long,1,^GSPC
2025-06-18,-0.000309240210107,-0.0068695561082666,0.08177619121636992,1,10000.0,-3.0924021010700002,817.7619121636992,long,1,^GSPC
2025-06-20,-0.0021786584865058,-0.0128067154889242,0.0794193703368764,1,10000.0,-21.786584865058,794.1937033687641,long,1,^GSPC
2025-06-23,0.0096065041331563,0.0080642374478538,0.08978881697942653,1,10000.0,96.06504133156301,897.8881697942653,long,1,^GSPC
2025-06-24,0.0111217201797018,0.0097910221823598,0.10190914325683997,1,10000.0,111.217201797018,1019.0914325683997,long,1,^GSPC
2025-06-25,-3.2861029504172024e-06,0.018292672476095,0.1019055222699532,1,10000.0,-0.032861029504172024,1019.055222699532,long,1,^GSPC
2025-06-26,0.0080201212752302,0.0267770239456497,0.1107429381924041,1,10000.0,80.201212752302,1107.429381924041,long,1,^GSPC
2025-06-27,0.0052189708852221,0.0343893244192341,0.11653987324779647,1,10000.0,52.189708852221,1165.3987324779646,long,1,^GSPC
2025-06-30,0.0051644274245326,0.0298382080121573,0.12230616238978165,1,10000.0,51.644274245326,1223.0616238978164,long,1,^GSPC
2025-07-01,-0.0011185310871218,0.0173713821308933,0.12105082805788037,1,10000.0,-11.185310871218,1210.5082805788036,long,1,^GSPC
2025-07-02,0.004745096791088,0.0222022668734727,0.12637032274474436,1,10000.0,47.450967910879996,1263.7032274474436,long,1,^GSPC
2025-07-03,0.0083389552066073,0.0225255865776445,0.1357630744121645,1,10000.0,83.389552066073,1357.6307441216452,long,1,^GSPC
2025-07-07,-0.0078622972791287,0.0092191013337845,0.12683336748247886,1,10000.0,-78.622972791287,1268.3336748247887,long,1,^GSPC
2025-07-08,-0.0007158868810946,0.0033150667727017,0.12602668225751845,1,10000.0,-7.158868810945999,1260.2668225751845,long,1,^GSPC
2025-07-09,0.0060621034026635,0.010527572957675,0.13285277243952165,1,10000.0,60.621034026635,1328.5277243952164,long,1,^GSPC
2025-07-10,0.0027462050044453,0.0085171772143044,0.13596381839249494,1,10000.0,27.462050044452997,1359.6381839249493,long,1,^GSPC
2025-07-11,-0.0032975229626984,-0.0031213576805608,0.13221795161655114,1,10000.0,-32.975229626983996,1322.1795161655114,long,1,^GSPC
2025-07-14,0.0014074138094573,0.0061926488120267,0.13381145079697165,1,10000.0,14.074138094573,1338.1145079697164,long,1,^GSPC
2025-07-15,-0.0039562982147312,0.0029298349433504,0.12932575457834172,1,10000.0,-39.562982147312006,1293.2575457834173,long,1,^GSPC
2025-07-16,0.0031936574173276,7.03195626527986e-05,0.13293243415103007,1,10000.0,31.936574173276,1329.3243415103007,long,1,^GSPC
2025-07-17,0.0053737674089093,0.0026908701669721,0.13902054954216725,1,10000.0,53.737674089093005,1390.2054954216726,long,1,^GSPC
2025-07-18,-9.048620868445932e-05,0.0059171754562881,0.13891748389102543,1,10000.0,-0.9048620868445932,1389.1748389102543,long,1,^GSPC
2025-07-21,0.0013991348828683,0.0059088592461868,0.14051098307144594,1,10000.0,13.991348828683,1405.1098307144593,long,1,^GSPC
2025-07-22,0.0006375316336257,0.0105481879564126,0.14123809490165162,1,10000.0,6.375316336257,1412.3809490165163,long,1,^GSPC
2025-07-23,0.0078118869515191,0.0152002742737833,0.15015331788379038,1,10000.0,78.11886951519101,1501.5331788379037,long,1,^GSPC
