Date,sp_return_1d,sp_return_5d,cumulative_return,position,capital_deployed,daily_pnl_dollars,cumulative_pnl_dollars,trade_side,trade_taken,ticker
2025-12-02,0.0024572352619998,0.0185306150864479,0.002457235261999813,1,100.0,0.24572352619998003,0.24572352619998128,long,1,^GSPC
2025-12-03,0.0029797912994984,0.012391637670694,0.005444348609752847,1,100.0,0.29797912994984,0.5444348609752847,long,1,^GSPC
2025-12-04,0.0010803218396737,0.0065335098882077,0.006530552098132469,1,100.0,0.10803218396737,0.6530552098132469,long,1,^GSPC
2025-12-05,0.001936641757662,0.0031113708653123,0.008479841195688342,1,100.0,0.1936641757662,0.8479841195688342,long,1,^GSPC
2025-12-08,-0.003477255626794,0.004973098993382,0.0049730989933822745,1,100.0,-0.34772556267939997,0.49730989933822745,long,1,^GSPC
2025-12-09,-0.0008763589340257,0.0016311384866174,0.004092381839623904,1,100.0,-0.08763589340257,0.4092381839623904,long,1,^GSPC
2025-12-10,0.0067495569392015,0.0053958351258502,0.010869560543068868,1,100.0,0.67495569392015,1.0869560543068868,long,1,^GSPC
2025-12-11,0.0020793508415142,0.0063991707980313,0.012971513014445213,1,100.0,0.20793508415142,1.2971513014445213,long,1,^GSPC
2025-12-12,-0.010663649289958,-0.0062572407290417,0.0021695400589409886,1,100.0,-1.0663649289958,0.21695400589409886,long,1,^GSPC
2025-12-15,-0.0015965630269072,-0.0043817946701287,0.0005695132245902013,1,100.0,-0.15965630269072,0.056951322459020126,long,1,^GSPC
2025-12-16,-0.0023839179519623,-0.005884064401496,-0.0018157624001720052,1,100.0,-0.23839179519623,-0.18157624001720052,long,1,^GSPC
2025-12-17,-0.0115921439122413,-0.0239955966854891,-0.013386857733360014,1,100.0,-1.1592143912241302,-1.3386857733360014,long,1,^GSPC
2025-12-18,0.0079342622699418,-0.018293034976815,-0.005558810303645023,1,100.0,0.7934262269941801,-0.5558810303645023,long,1,^GSPC
2025-12-19,0.0088180594503322,0.0010384382346664,0.003210231226956628,1,100.0,0.88180594503322,0.3210231226956628,long,1,^GSPC
2025-12-22,0.0064364963603775,0.0090926985922563,0.009667390228942585,1,100.0,0.64364963603775,0.9667390228942585,long,1,^GSPC
2025-12-23,0.0045503887657032,0.0161067778603356,0.014261769378537181,1,100.0,0.45503887657032005,1.4261769378537181,long,1,^GSPC
2025-12-24,0.0032214822012188,0.0313355377349835,0.017529195615966886,1,100.0,0.32214822012188005,1.7529195615966886,long,1,^GSPC
